iter	RMSE
215	0.5982753967
216	0.5979553064
217	0.5976513715
218	0.597306999
219	0.5968521893
220	0.596574524
221	0.5964041998
222	0.5960465384
223	0.5954455753
224	0.5951722276
225	0.5944755608
226	0.5941268631
227	0.5935149033
228	0.5933226289
229	0.5931658393
230	0.5927690473
231	0.5925637577
232	0.5921368925
233	0.5917487732
234	0.5915657249
235	0.5912135673
236	0.5909500314
237	0.5907934874
238	0.5903897006
239	0.5894670073
240	0.588553841
241	0.5883577753
242	0.5880597559
243	0.5878406658
244	0.587436588
245	0.5871569402
246	0.5868517438
247	0.5867247113
248	0.5864623407
249	0.5859630234
250	0.5855328764
251	0.5852112959
252	0.5849939522
253	0.5846932428
254	0.5840461833
255	0.5837133764
256	0.5834411444
257	0.5831697785
258	0.5821978432
259	0.581800465
260	0.5814832494
261	0.5805934888
262	0.5802375133
263	0.5800794634
264	0.5799382311
265	0.5797661984
266	0.5794346167
267	0.5790883492
268	0.5789016442
269	0.5786251778
270	0.5783207032
271	0.5776356299
272	0.5772555458
273	0.5770221976
274	0.576821322
275	0.5765349202
276	0.5762228693
277	0.5757238734
278	0.5752361629
279	0.5749772932
280	0.5747375213
281	0.5737983486
282	0.5735903781
283	0.5733985878
284	0.5731819919
285	0.5724142208
286	0.5714321481
287	0.571216986
288	0.5707529245
289	0.5705290001
290	0.569996213
291	0.569694686
292	0.5692790617
293	0.5689177134
294	0.5683823949
295	0.5681489811
296	0.5679235174
297	0.5672302132
298	0.5669605813
299	0.5660657193
300	0.5655317059
301	0.5653680322
302	0.5651385197
303	0.5648490587
304	0.5645537109
305	0.5638869889
306	0.5634070664
307	0.5631823062
308	0.5620577825
309	0.5615953331
310	0.5613390691
311	0.5605556442
312	0.5603324323
313	0.5599981732
314	0.5598250832
315	0.559310599
316	0.5589689509
317	0.5587284586
318	0.5585446626
319	0.5583102978
320	0.5581806683
321	0.5577914552
322	0.5576647008
323	0.5573348239
324	0.5571217571
325	0.5569150802
326	0.556702822
327	0.5560834999
328	0.555870942
329	0.5555894925
330	0.5551275535
331	0.5548204736
332	0.5545607917
333	0.5544076155
334	0.5541258254
335	0.5531330475
336	0.5529843146
337	0.5527900392
338	0.5526288494
339	0.5521535131
340	0.5518948757
341	0.551643592
342	0.5514138048
343	0.5510818302
344	0.5504444988
345	0.5499847543
346	0.5495776795
347	0.5493806507
348	0.5485916721
349	0.5475768459
350	0.5470025904
351	0.5468232732
352	0.5466643625
353	0.546493844
354	0.545720341
355	0.5453829902
356	0.5452556356
357	0.5448833488
358	0.5446952834
359	0.5444295672
360	0.5437802913
361	0.5433993473
362	0.5427129584
363	0.5420404961
364	0.5411914718
365	0.5409754073
366	0.5405503944
367	0.54015686
368	0.5396883243
369	0.5395233559
370	0.5392581741
371	0.539119914
372	0.5388883243
373	0.538657158
374	0.5384577343
375	0.537989525
376	0.5377717732
377	0.5373202805
378	0.5371183447
379	0.536955513
380	0.536777809
381	0.536580372
382	0.5359588556
383	0.5354657575
384	0.5349842675
385	0.5346442539
386	0.534304512
387	0.5340206734
388	0.533840871
389	0.5333735172
390	0.5332535809
391	0.5329883808
392	0.5323205648
393	0.5318149524
394	0.5316743849
395	0.531455024
396	0.5311452806
397	0.5310266306
398	0.5303805648
399	0.5302390893
400	0.5300793213
401	0.5300048396
402	0.52951969
403	0.5294127782
404	0.5287038327
405	0.5281049682
406	0.5273691682
407	0.5271571377
408	0.5269761371
409	0.5265700951
410	0.5261286208
411	0.5258210095
412	0.5254797681
413	0.5254116749
414	0.5249078417
415	0.5248044009
416	0.5240535277
417	0.5234683158
418	0.5228207533
419	0.5226214511
420	0.5222704317
421	0.5216775094
422	0.5214814302
423	0.5213768467
424	0.5210826174
425	0.5206502022
426	0.5199873996
427	0.5198341974
428	0.5196378518
429	0.5194672497
430	0.5193764165
431	0.5192522307
432	0.5189672976
433	0.5184697215
434	0.5178838428
435	0.5176427986
436	0.5173786297
437	0.5172887742
438	0.5168835844
439	0.5163187659
440	0.5159244772
441	0.5156526258
442	0.5155076623
443	0.5153235825
444	0.515120818
445	0.5143017961
446	0.5138157475
447	0.5131195591
448	0.51267772
449	0.5121433798
450	0.5120595281
451	0.5116178744
452	0.5111884594
453	0.5105772266
454	0.5103380566
455	0.5102626205
456	0.5095189515
457	0.5094422577
458	0.5091743802
459	0.508654936
460	0.5082442193
461	0.5081526414
462	0.5079254182
463	0.5070526923
464	0.5069378699
465	0.5066629096
466	0.5063061992
467	0.5058499672
468	0.5057339181
469	0.5055270677
470	0.5049152712
471	0.5046830188
472	0.5046003872
473	0.5039626674
474	0.5032504008
475	0.5024204461
476	0.5018591216
477	0.501765469
478	0.501682619
479	0.5012939998
480	0.500980368
481	0.5004592675
482	0.5002768618
483	0.4997941035
484	0.4993077327
485	0.4990457861
486	0.4986606762
487	0.4982190833
488	0.4981147824
489	0.4975072778
490	0.4968094384
491	0.4964667071
492	0.4962344901
493	0.495681324
494	0.4952973689
495	0.4952314546
496	0.494836769
497	0.4944886714
498	0.4940580534
499	0.4938809679
500	0.4933950938
501	0.4929038121
502	0.4923836256
503	0.4917698845
504	0.4916277752
505	0.4915431407
506	0.4913861305
507	0.4913215294
508	0.4909999708
509	0.4904432358
510	0.489859989
511	0.4894417445
512	0.4887385245
513	0.4886630763
514	0.4882225061
515	0.4875766673
516	0.4870453934
517	0.4869736285
518	0.4863418634
519	0.4856009022
520	0.4852502816
521	0.485040397
522	0.4847512684
523	0.4841676979
524	0.4834620684
525	0.4829821238
526	0.4826375512
527	0.4825344306
528	0.4821711462
529	0.4819374932
530	0.4818496067
531	0.4816056939
532	0.4812526916
533	0.4808895986
534	0.480691873
535	0.4805787836
536	0.4800950223
537	0.4796724841
538	0.47957165
539	0.4793651596
540	0.4792328399
541	0.4791674923
542	0.4786638727
543	0.4783070159
544	0.4777412891
545	0.477396512
546	0.4772785648
547	0.4771331896
548	0.4767933002
549	0.4764976368
550	0.475845642
551	0.4756283416
552	0.4754169303
553	0.4753674422
554	0.4749185741
555	0.4746303784
556	0.4745355144
557	0.4740526839
558	0.4734295692
559	0.4729229353
560	0.4722790281
561	0.4718457981
562	0.4713801901
563	0.4709349831
564	0.4705844096
565	0.470428398
566	0.470116138
567	0.469968725
568	0.4699042834
569	0.469660265
570	0.4693858038
571	0.469306915
572	0.4691787362
573	0.469036941
574	0.4687867954
575	0.4684726486
576	0.4682467525
577	0.4679520357
578	0.4677446945
579	0.467515496
580	0.4670679051
581	0.4667775206
582	0.466719713
583	0.466492134
584	0.4664501351
585	0.46609088
586	0.4658487173
587	0.4653903392
588	0.4650448779
589	0.4645463591
590	0.463977471
591	0.4639087077
592	0.4635187355
593	0.4630347705
594	0.4627034942
595	0.4623392955
596	0.4616870241
597	0.4616400203
598	0.461174925
599	0.4609045611
600	0.4608412326
601	0.4602915402
602	0.4599194121
603	0.459863186
604	0.4598274744
605	0.4593728483
606	0.4592496095
607	0.4591884192
608	0.4591133837
609	0.4588582493
610	0.4584636769
611	0.458056434
612	0.4580041773
613	0.4579586458
614	0.4577032845
615	0.4572226335
616	0.4570139266
617	0.4565828299
618	0.4561065974
619	0.456073106
620	0.4557152659
621	0.4553024831
622	0.455037666
623	0.4546819175
624	0.4546288677
625	0.4545951186
626	0.4544563475
627	0.4543981013
628	0.453867818
629	0.4537013889
630	0.4530506858
631	0.4524761495
632	0.4524513834
633	0.451754256
634	0.4513634821
635	0.4512821234
636	0.4510292149
637	0.4504583029
638	0.4503408178
639	0.4501065309
640	0.4500102768
641	0.449704984
642	0.44936749
643	0.4487853753
